name,brand,price_idr,cpu_brand,cpu_gen,cpu_tier,cpu_model,ram_gb,ssd_gb,storage_type,nvme,screen_inch,resolution,display_type,touchscreen,gpu_type,os,sold_count,rating
"Laptop Lenovo Thinkpad T15 Core i5 Gen 10 RAM 16GB SSD 256 Full HD IPS - Thinkpad L15, RAM 8GB SSD 256",Lenovo,4250000,AMD,4,ryzen5,4650u,16,256,SSD,0,15.6,FHD,IPS,0,Integrated,Windows 11,100,4.8
Laptop Lenovo Thinkpad T420 Core i5 - 4GB - 320GB - DVD - Murah Mulus,Lenovo,2599000,Intel,,i5,,4,,SSD,0,14.0,HD,,0,Integrated,,13,4.6
Laptop Lenovo Thinkpad T430 Core i5 - 8GB - 320GB - Camera - Murah Gan - 4GB HDD 320GB,Lenovo,2050000,Intel,3,i5,3320M,8,320,HDD,0,,,,0,Integrated,,29,4.8
"Laptop Lenovo Thinkpad T430 - Corei5 3320M - 4GB - 320GB - Batt Good - HDD 320GB, 4 gb",Lenovo,2050000,Intel,3,i5,3320M,4,320,HDD,0,,,,0,Integrated,,40,4.9
"Laptop Lenovo Thinkpad T430 - Corei5 3320M - 8GB - SSD 256GB - Batt OK - HDD 320GB, 4 gb",Lenovo,2050000,Intel,3,i5,3320M,8,320,HDD,0,,,,0,Integrated,,40,4.6
Laptop Lenovo Thinkpad T430 - i7 - 4GB DDR3 - SSD 256 - GOOD BATTREY - 4 gb,Lenovo,3099000,Intel,3,i7,3520M,4,256,SSD,0,14.0,,,0,Integrated,,80,4.9
"Laptop Lenovo ThinkPad T430s Core i5 Gen3 - 4GB - 320GB - Murah Slim - 4GB HDD 320GB, Lenovo T430",Lenovo,2250000,Intel,3,i5,3320M,4,320,HDD,0,,,,0,Integrated,,50,4.9
Laptop Lenovo Thinkpad T440 Corei5 4300u 8GB 320GB Win 10 Slim Murah - SSD 256GB,Lenovo,3300000,Intel,4,i5,4300U,8,256,SSD,0,14.0,HD,,0,Integrated,Windows 10,100,4.8
Laptop Lenovo Thinkpad T450 Core i5 5300u 8GB SSD 128 Win 10 Murah Gan - SSD 512GB,Lenovo,3750000,Intel,5,i5,5300U,8,512,SSD,0,14.0,HD,,0,Integrated,Windows 10,90,4.9
Laptop Lenovo Thinkpad T450 Core i5 5300u 8GB SSD 240 Win 10 Murah Gan - SSD 128GB,Lenovo,3099000,Intel,5,i5,5300U,8,128,SSD,0,14.0,HD,,0,Integrated,Windows 10,60,4.7
Laptop Lenovo Thinkpad T450 Core i5 5300u 8GB SSD 512 Win 10 Murah Gan - SSD 128GB,Lenovo,3099000,Intel,5,i5,5300U,8,128,SSD,0,14.0,HD,,0,Integrated,Windows 10,40,4.9
Laptop Lenovo Thinkpad T450s SSD 256GB 8GB Core i5 5300u Murah Mulus - SSD 128GB,Lenovo,3050000,Intel,5,i5,5300U,8,128,SSD,0,14.0,HD,,0,Integrated,,30,5.0
"Laptop Lenovo Thinkpad T460 i5 6300u 8GB SSD 128 IPS FULL HD Murah Gan - SSD 128GB, 8 gb",Lenovo,2599000,Intel,6,i5,6300U,8,128,SSD,0,14.0,FHD,IPS,0,Integrated,,250,5.0
Laptop Lenovo Thinkpad X270 Core i7 6600u RAM 16GB SSD Win 10 Slim - SSD 128GB,Lenovo,3850000,Intel,6,i7,6600U,16,128,SSD,0,12.0,HD,,0,Integrated,Windows 10,50,5.0
"Laptop Lenovo Thinkpad X270 Core i7 7th Gen RAM 8GB SSD 256 Mulus Slim - X270 i7 Gen 6, RAM 16 SSD 128",Lenovo,3899000,Intel,7,i7,6600U,8,128,SSD,0,12.0,HD,,0,Integrated,,30,4.6
Laptop Lenovo Thinkpad X270 Core i7 RAM 8GB SSD 256 Full HD IPS Murah,Lenovo,5500000,Intel,6,i7,6600U,8,256,SSD,0,12.5,FHD,IPS,0,Integrated,,6,5.0
Laptop Lenovo Thinkpad X280 Core i5 Gen 8 RAM 8GB SSD FHD IPS Win 10 - SSD 128GB,Lenovo,2600000,Intel,8,i5,8350U,8,128,SSD,0,12.5,FHD,IPS,0,Integrated,Windows 10,250,5.0
Laptop Lenovo Thinkpad X380 YOGA Core i7 8650u RAM 16GB SSD 512 Murah - 16GB SSD 256GB,Lenovo,4799000,Intel,8,i7,8650U,16,256,SSD,0,13.3,FHD,,1,Integrated,,30,5.0
Laptop Lenovo Thinkpad X390 Core i7 8th Gen RAM 16GB SSD Win 10 IPS - SSD 256GB,Lenovo,4999000,Intel,8,i7,8565U,16,256,SSD,1,,FHD,IPS,0,Integrated,Windows 10,30,5.0
Laptop Lenovo Thinkpad Yoga 11e intel core M3 Gen 8 RAM 8GB SSD 256GB Touchscreen IPS Win 11 Original,Lenovo,2050000,,,,,8,256,SSD,0,11.6,HD,IPS,1,Integrated,Windows 11,22,5.0
Laptop Lenovo Thinkpad Yoga 300e intel Pentium Silver N5000 RAM 4GB SSD 128 Touchscreen IPS Win 10 Original,Lenovo,1550000,Intel,,pentium,,4,128,SSD,0,11.6,HD,IPS,1,Integrated,Windows 10,15,5.0
"Laptop Lenovo Thinkpad Yoga L380 Core i7 8th Gen RAM 16 SSD IPS Win 10 - SSD 256GB, 8 gb",Lenovo,3499000,Intel,8,i7,,8,256,SSD,0,,HD,IPS,1,Integrated,Windows 10,30,4.8
Laptop Lenovo Thinkpad Yoga S1 Core i5 8GB IPS Full HD Touchscreen,Lenovo,3500000,Intel,,i5,,8,128,SSD,0,13.3,FHD,IPS,1,Integrated,,22,5.0
Laptop Lenovo X1 Carbon 10th Core i5 Gen12 RAM 16GB SSD NVME 512GB Touchscreen FHD IPS Murah Garansi - SSD 256GB,Lenovo,7999000,Intel,12,i5,,16,256,SSD,1,,FHD,IPS,1,Integrated,,13,5.0
Laptop Lenovo X1 Carbon Core i5 4300u RAM 8GB SSD 128 Touchbar Murah - RAM 4GB SSD 256,Lenovo,3999000,Intel,4,i5,4300U,8,256,SSD,0,,,,0,Integrated,,1,
Laptop Lenovo X1 Carbon Core i5 5300u SSD 240GB 8GB Full HD Murah - 8GB SSD 128GB,Lenovo,4750000,Intel,5,i5,5300U,8,128,SSD,0,,FHD,IPS,0,Integrated,,11,5.0
Laptop Lenovo X1 Carbon Core i5 6200u - RAM 8GB - SSD 256 - Murah Slim - SSD 128GB,Lenovo,3599000,Intel,6,i5,6200U,8,128,SSD,0,,FHD,IPS,0,Integrated,,60,4.9
Laptop Lenovo X1 Carbon Core i5 SSD 128 RAM 4GB Touchscreen Murah,Lenovo,4499000,Intel,,i5,,4,128,SSD,0,,,,1,Integrated,,18,4.9
Laptop Lenovo X1 Carbon Core i7 RAM 8GB SSD 256 Touchscreen Murah Slim - NON Touchscreen,Lenovo,3899000,Intel,,i7,,8,256,SSD,0,,,,1,Integrated,,12,5.0
Obral Laptop Lenovo Thinkpad T420 / Corei5 / 4gb / 500gb/ Murmer aja - HDD 320GB,Lenovo,2350000,Intel,,i5,,4,320,HDD,0,14.0,HD,,0,Integrated,,30,4.6
OBral Laptop Lenovo Thinkpad X240 Corei5 4GB 320GB Double Baterai Gan,Lenovo,2950000,Intel,,i5,,4,,SSD,0,,HD,,0,Integrated,,24,5.0
OBRAL LAPTOP LENOVO x220 / Corei5 / Murah . Mulus Original - HDD 320GB,Lenovo,2300000,Intel,,i5,,4,320,HDD,0,12.5,HD,,0,Integrated,,90,4.7
OBRAL Laptop Toshiba DynaBook R930 / Corei5 3340M / 4GB / Murah Slim - SSD 128GB,Toshiba,990000,Intel,3,i5,3340M,4,128,SSD,0,,HD,,0,Integrated,,100,4.9
OBRAL Pc Mini Hp Elite 8200 / Corei3 2120 / Hdd 250GB / Barang Langka,Hp,1699000,Intel,2,i3,2120,4,250,HDD,0,,HD,,0,Integrated,,23,5.0
